Tempo_s,Valore_Sensore
1.613,478.00
1.698,478.00
1.798,464.00
1.897,449.00
1.997,440.00
2.097,434.00
2.198,426.00
2.298,421.00
2.398,413.00
2.497,405.00
2.597,399.00
2.698,394.00
2.798,389.00
2.898,384.00
2.997,380.00
3.098,376.00
3.197,373.00
3.298,370.00
3.398,365.00
3.498,361.00
3.599,358.00
3.699,356.00
3.798,352.00
3.899,350.00
3.998,348.00
4.098,346.00
4.197,344.00
4.298,342.00
4.398,340.00
4.498,338.00
4.598,336.00
4.698,335.00
4.799,333.00
4.898,332.00
4.998,346.00
5.098,364.00
5.199,364.00
5.299,363.00
5.398,362.00
5.498,361.00
5.599,360.00
5.698,338.00
5.798,335.00
5.899,330.00
5.998,325.00
6.099,322.00
6.199,321.00
6.299,319.00
6.401,318.00
6.502,317.00
6.601,316.00
6.699,314.00
6.799,313.00
6.898,312.00
6.999,311.00
7.098,311.00
7.198,310.00
7.298,309.00
7.398,308.00
7.498,308.00
7.598,307.00
7.698,306.00
7.798,306.00
7.898,305.00
7.998,304.00
8.098,304.00
8.198,303.00
8.299,303.00
8.398,302.00
8.498,302.00
8.599,301.00
8.698,300.00
8.798,299.00
8.899,299.00
8.999,299.00
9.098,297.00
9.198,296.00
9.299,295.00
9.398,295.00
9.499,294.00
9.599,293.00
9.698,292.00
9.799,292.00
9.899,291.00
9.999,290.00
10.099,289.00
10.199,288.00
10.299,287.00
10.399,286.00
10.500,285.00
10.599,285.00
10.699,284.00
10.799,284.00
10.900,283.00
10.999,282.00
11.099,281.00
11.199,280.00
11.300,280.00
11.400,278.00
11.499,278.00
11.599,277.00
11.700,276.00
11.799,275.00
11.899,274.00
11.999,273.00
12.100,272.00
12.199,271.00
12.299,270.00
12.400,268.00
12.499,267.00
12.599,266.00
12.699,265.00
12.799,264.00
12.900,263.00
13.000,262.00
13.099,261.00
13.200,260.00
13.300,259.00
13.399,258.00
13.499,257.00
13.600,256.00
13.700,255.00
13.800,254.00
13.900,253.00
14.000,252.00
14.100,251.00
14.200,251.00
14.299,250.00
14.400,250.00
14.500,249.00
14.600,248.00
14.700,248.00
14.800,249.00
14.901,249.00
15.000,250.00
15.100,250.00
15.200,251.00
15.300,251.00
15.400,238.00
15.500,238.00
15.600,250.00
15.700,253.00
15.800,255.00
15.900,255.00
16.000,255.00
16.101,257.00
16.200,257.00
16.301,257.00
16.400,258.00
16.500,258.00
16.601,258.00
16.701,259.00
16.800,259.00
16.901,259.00
17.000,260.00
17.100,260.00
17.201,260.00
17.301,261.00
17.400,261.00
17.501,261.00
17.600,262.00
17.701,262.00
17.801,263.00
17.901,263.00
18.001,263.00
18.100,264.00
18.201,264.00
18.301,264.00
18.401,264.00
18.501,265.00
18.601,265.00
18.701,265.00
18.802,266.00
18.901,266.00
19.001,266.00
19.102,266.00
19.201,266.00
19.301,266.00
19.402,266.00
19.501,267.00
19.601,267.00
19.702,267.00
19.802,268.00
19.902,268.00
20.001,268.00
20.102,268.00
20.202,268.00
20.301,268.00
20.401,257.00
20.502,270.00
20.602,271.00
20.702,271.00
20.801,270.00
20.902,268.00
21.002,268.00
21.102,269.00
21.201,270.00
21.302,267.00
21.402,270.00
21.502,271.00
21.602,272.00
21.702,271.00
21.802,269.00
21.902,270.00
22.003,269.00
22.102,272.00
22.202,271.00
22.302,260.00
22.402,269.00
22.502,271.00
22.602,267.00
22.702,268.00
22.802,271.00
22.903,270.00
23.002,271.00
23.102,271.00
23.202,271.00
23.303,272.00
23.402,272.00
23.502,271.00
23.602,270.00
23.702,272.00
23.803,272.00
23.903,271.00
24.003,272.00
24.102,273.00
24.203,273.00
24.303,272.00
24.403,273.00
24.503,273.00
24.603,273.00
24.703,273.00
24.802,272.00
24.903,272.00
25.003,271.00
25.103,268.00
25.203,273.00
25.303,273.00
25.403,273.00
25.503,272.00
25.602,272.00
25.703,273.00
25.803,273.00
25.903,273.00
26.003,274.00
26.103,273.00
26.203,273.00
26.303,273.00
26.404,273.00
26.504,272.00
26.603,273.00
26.703,273.00
26.803,273.00
26.904,273.00
27.004,274.00
27.104,273.00
27.203,274.00
27.303,274.00
27.403,274.00
27.504,274.00
27.604,274.00
27.703,272.00
27.803,273.00
27.903,274.00
28.004,274.00
28.104,274.00
28.204,273.00
28.304,273.00
28.404,273.00
28.504,272.00
28.604,272.00
28.703,273.00
28.803,274.00
28.903,274.00
29.004,274.00
29.103,274.00
29.205,274.00
29.305,275.00
29.405,275.00
29.504,275.00
29.604,275.00
29.703,275.00
29.804,275.00
29.904,275.00
30.004,275.00
30.104,275.00
30.204,275.00
30.305,275.00
30.404,275.00
30.504,275.00
30.605,275.00
30.704,273.00
30.805,273.00
30.904,274.00
31.004,275.00
31.104,274.00
31.205,272.00
31.305,271.00
31.405,273.00
31.505,274.00
31.604,273.00
31.705,254.00
31.804,253.00
31.904,248.00
32.004,230.00
32.105,274.00
32.204,239.00
32.305,244.00
32.405,273.00
32.504,275.00
32.604,274.00
32.705,274.00
32.805,273.00
32.905,273.00
33.006,273.00
33.105,273.00
33.205,273.00
33.305,273.00
33.406,273.00
33.505,273.00
33.605,274.00
33.705,274.00
33.806,274.00
33.905,274.00
34.005,274.00
34.106,274.00
34.205,274.00
34.305,274.00
34.405,274.00
34.505,274.00
34.606,274.00
34.706,274.00
34.805,274.00
34.905,274.00
35.005,274.00
35.105,274.00
35.206,274.00
35.305,274.00
35.405,274.00
35.506,274.00
35.606,274.00
35.705,274.00
35.806,274.00
35.906,274.00
36.006,274.00
36.106,274.00
36.206,273.00
36.306,273.00
36.406,274.00
36.506,274.00
36.606,273.00
36.707,273.00
36.806,273.00
36.906,274.00
37.006,274.00
37.106,273.00
37.206,273.00
37.306,272.00
37.407,272.00
37.506,272.00
37.607,273.00
37.707,273.00
37.807,273.00
37.906,273.00
38.006,273.00
38.106,273.00
38.207,273.00
38.307,273.00
38.407,273.00
38.506,273.00
38.606,273.00
38.707,273.00
38.807,273.00
38.907,272.00
39.007,273.00
39.107,273.00
39.206,273.00
39.307,273.00
39.407,273.00
39.507,273.00
39.607,273.00
39.706,273.00
39.807,273.00
39.907,273.00
40.007,273.00
40.107,272.00
40.233,257.00
40.307,258.00
40.407,268.00
40.506,269.00
40.607,270.00
40.707,271.00
40.807,271.00
40.907,272.00
41.007,267.00
41.107,261.00
41.207,255.00
41.307,261.00
41.407,266.00
41.507,268.00
41.608,267.00
41.707,268.00
41.807,266.00
41.907,268.00
42.007,268.00
42.108,269.00
42.207,266.00
42.307,267.00
42.408,264.00
42.507,264.00
42.607,268.00
42.707,270.00
42.808,272.00
42.907,270.00
43.007,268.00
43.107,288.00
43.208,289.00
43.308,290.00
43.407,288.00
43.508,285.00
43.608,282.00
43.707,282.00
43.808,280.00
43.908,279.00
44.008,279.00
44.109,279.00
44.208,278.00
44.308,276.00
44.408,274.00
44.508,272.00
44.608,265.00
44.708,251.00
44.808,170.00
44.907,61.00
45.008,453.00
45.108,546.00
45.208,561.00
45.309,554.00
45.408,569.00
45.508,586.00
45.608,598.00
45.708,604.00
45.809,607.00
45.908,610.00
46.008,612.00
46.108,618.00
46.209,620.00
46.309,616.00
46.408,616.00
46.508,623.00
46.609,625.00
46.708,622.00
46.808,623.00
46.909,621.00
47.009,620.00
47.108,617.00
47.208,622.00
47.308,626.00
47.409,633.00
47.509,632.00
47.609,630.00
47.708,635.00
47.809,637.00
47.909,640.00
48.008,642.00
48.108,641.00
48.209,649.00
48.309,655.00
48.409,662.00
48.510,659.00
48.610,658.00
48.709,652.00
48.809,653.00
48.910,620.00
49.009,595.00
49.109,378.00
49.209,369.00
49.310,407.00
49.409,415.00
49.509,398.00
49.609,477.00
49.710,491.00
49.809,571.00
49.909,600.00
50.010,607.00
50.110,610.00
50.210,616.00
50.309,616.00
50.409,623.00
50.510,631.00
50.610,696.00
50.709,698.00
50.810,733.00
50.910,768.00
51.009,762.00
51.110,765.00
51.210,760.00
51.309,753.00
51.409,761.00
51.509,776.00
51.610,786.00
51.710,785.00
51.811,767.00
51.909,782.00
52.009,794.00
52.110,803.00
52.210,806.00
52.310,804.00
52.410,796.00
52.510,807.00
52.610,819.00
52.711,820.00
52.810,817.00
52.910,821.00
53.010,842.00
53.110,844.00
53.210,844.00
53.310,854.00
53.411,863.00
53.511,883.00
53.611,863.00
53.710,851.00
53.810,852.00
53.910,846.00
54.011,843.00
54.111,814.00
54.210,819.00
54.311,820.00
54.411,810.00
54.511,817.00
54.610,818.00
54.711,818.00
54.811,821.00
54.910,824.00
55.010,825.00
55.110,829.00
55.211,839.00
55.311,845.00
55.411,839.00
55.511,848.00
55.611,846.00
55.711,846.00
55.811,859.00
55.911,857.00
56.010,863.00
56.110,866.00
56.211,867.00
56.311,871.00
56.411,880.00
56.512,888.00
56.611,908.00
56.711,938.00
56.811,927.00
56.912,915.00
57.011,947.00
57.111,939.00
57.212,946.00
57.311,939.00
57.411,937.00
57.512,939.00
57.612,941.00
57.711,943.00
57.811,948.00
57.912,949.00
58.011,960.00
58.112,954.00
58.212,948.00
58.311,949.00
58.411,962.00
58.511,962.00
58.612,967.00
58.712,978.00
58.811,971.00
58.912,974.00
59.012,977.00
59.112,972.00
59.212,997.00
59.313,1023.00
59.413,1023.00
59.514,1023.00
59.612,1023.00
59.713,1023.00
59.813,1023.00
59.913,1023.00
60.014,1023.00
60.114,1023.00
60.213,1023.00
60.313,1023.00
60.413,1023.00
60.514,1023.00
60.614,1023.00
60.714,1023.00
60.814,1023.00
60.914,1023.00
61.014,1023.00
61.114,1023.00
61.214,1023.00
61.314,1023.00
61.415,1023.00
61.515,1023.00
61.614,1023.00
61.714,1023.00
61.815,1013.00
61.914,990.00
62.014,990.00
62.114,981.00
62.214,979.00
62.314,974.00
62.413,968.00
62.514,960.00
62.614,948.00
62.714,981.00
62.814,986.00
62.914,980.00
63.014,971.00
63.114,952.00
63.215,928.00
63.314,924.00
63.414,917.00
63.514,910.00
63.615,914.00
63.714,943.00
63.814,969.00
63.916,1010.00
64.016,1023.00
64.115,1023.00
64.215,1023.00
64.314,936.00
64.415,877.00
64.515,848.00
64.615,823.00
64.714,802.00
64.815,784.00
64.915,766.00
65.015,749.00
65.115,733.00
65.214,717.00
65.315,701.00
65.415,686.00
65.515,671.00
65.616,656.00
65.715,642.00
65.815,628.00
65.916,615.00
66.014,602.00
66.114,589.00
66.215,576.00
66.315,564.00
66.415,552.00
66.516,540.00
66.616,528.00
66.715,517.00
66.815,506.00
66.916,496.00
67.015,486.00
67.115,476.00
67.215,467.00
67.316,458.00
67.415,449.00
67.515,441.00
67.615,434.00
67.716,426.00
67.816,419.00
67.916,412.00
68.016,406.00
68.115,400.00
68.216,395.00
68.316,389.00
68.416,384.00
68.516,380.00
68.616,376.00
68.716,372.00
68.816,368.00
68.916,365.00
69.015,362.00
69.115,359.00
69.216,356.00
69.316,353.00
69.416,351.00
69.516,349.00
69.616,346.00
69.716,344.00
69.816,342.00
69.916,339.00
70.016,337.00
70.117,335.00
70.216,333.00
70.316,331.00
70.417,329.00
70.517,327.00
70.616,325.00
70.717,324.00
70.817,322.00
70.917,321.00
71.017,320.00
71.116,319.00
71.216,317.00
71.317,316.00
71.417,315.00
71.517,314.00
71.616,313.00
71.717,312.00
71.817,311.00
71.917,310.00
72.017,309.00
72.116,308.00
72.217,307.00
72.317,306.00
72.417,305.00
72.517,304.00
72.618,303.00
72.717,302.00
72.817,301.00
72.917,300.00
73.017,299.00
73.117,298.00
73.217,297.00
73.318,296.00
73.417,295.00
73.517,294.00
73.618,293.00
73.717,292.00
73.817,291.00
73.918,291.00
74.018,290.00
74.118,288.00
74.217,287.00
74.317,286.00
74.418,285.00
74.517,284.00
74.617,283.00
74.717,282.00
74.818,281.00
74.918,280.00
75.018,279.00
75.117,278.00
75.218,276.00
75.318,275.00
75.418,274.00
75.518,274.00
75.617,274.00
75.718,274.00
75.818,274.00
75.918,273.00
76.018,272.00
76.118,271.00
76.217,271.00
76.318,273.00
76.418,272.00
76.518,271.00
76.618,270.00
76.719,269.00
76.818,265.00
76.918,259.00
77.018,253.00
77.118,253.00
77.219,252.00
77.318,251.00
77.418,250.00
77.519,250.00
77.618,246.00
77.718,246.00
77.819,245.00
77.919,244.00
78.019,243.00
78.118,243.00
78.218,243.00
78.319,245.00
78.419,245.00
78.518,245.00
78.619,245.00
78.719,246.00
78.818,246.00
78.919,246.00
79.019,246.00
79.119,246.00
79.218,246.00
79.319,247.00
79.419,247.00
79.519,247.00
79.620,247.00
79.719,247.00
79.819,247.00
79.919,247.00
80.019,247.00
80.119,247.00
80.219,248.00
80.319,248.00
80.419,248.00
80.519,258.00
80.619,256.00
80.720,256.00
80.819,261.00
80.919,265.00
81.019,261.00
81.119,268.00
81.219,269.00
81.319,270.00
81.420,269.00
81.520,269.00
81.620,269.00
81.720,269.00
81.819,269.00
81.920,269.00
82.020,269.00
82.120,269.00
82.219,269.00
82.320,269.00
82.420,269.00
82.520,269.00
82.620,269.00
82.720,269.00
82.819,269.00
82.920,268.00
83.020,266.00
83.120,269.00
83.221,268.00
83.320,264.00
83.420,269.00
83.520,269.00
83.620,269.00
83.719,270.00
83.821,271.00
83.921,271.00
84.019,270.00
84.120,270.00
84.220,271.00
84.320,271.00
84.420,272.00
84.520,272.00
84.620,265.00
84.720,261.00
84.821,263.00
84.920,271.00
85.020,275.00
85.120,278.00
85.221,279.00
85.321,280.00
85.420,282.00
85.520,283.00
85.621,285.00
85.721,285.00
85.821,287.00
85.921,288.00
86.021,288.00
86.120,289.00
86.221,289.00
86.321,290.00
86.421,291.00
86.521,292.00
86.621,293.00
86.720,294.00
86.821,294.00
86.921,295.00
87.041,296.00
87.122,297.00
87.221,298.00
87.322,299.00
87.422,301.00
87.522,302.00
87.622,303.00
87.722,305.00
87.821,292.00
87.921,291.00
88.021,294.00
88.121,296.00
88.221,297.00
88.321,300.00
88.421,303.00
88.521,305.00
88.622,306.00
88.721,308.00
88.822,311.00
88.922,313.00
89.022,315.00
89.122,317.00
89.221,320.00
89.322,322.00
89.421,325.00
89.522,328.00
89.622,331.00
89.721,334.00
89.822,336.00
89.922,337.00
90.022,340.00
90.122,342.00
