Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,34.06,31.67,36.00,20.00,AUTO,5,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
1.00,34.04,31.67,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
2.00,34.02,31.64,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
3.01,34.01,31.59,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
4.00,33.99,31.51,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
5.01,34.00,31.51,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
6.01,33.99,31.51,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
7.01,33.95,31.50,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
8.01,33.92,31.25,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
9.01,33.88,31.09,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
10.02,33.86,31.06,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
11.02,33.81,30.97,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
12.02,33.78,30.80,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
13.02,33.72,30.67,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
14.02,33.67,30.64,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
15.02,33.66,30.55,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
16.03,33.64,30.59,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
17.03,33.59,30.58,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
18.03,33.52,30.54,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
19.03,33.47,30.36,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
20.03,33.44,30.32,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
21.04,33.37,30.28,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
22.03,33.33,30.20,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
23.04,33.30,30.24,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
24.04,33.30,30.28,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
25.04,33.21,30.31,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
26.04,33.16,30.31,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
27.04,33.11,30.29,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
28.04,33.07,30.29,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
29.05,33.03,30.33,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
30.05,32.99,30.37,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
