Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,32.42,33.32,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,32.41,33.28,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.83,32.42,33.28,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,32.43,33.24,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,32.45,33.24,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,32.47,33.24,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.84,32.47,33.24,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.84,32.48,33.24,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.85,32.49,33.20,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,32.52,33.16,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,32.54,33.16,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,32.56,33.12,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,32.58,33.10,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.85,32.59,33.10,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.85,32.61,33.06,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,32.63,33.02,36.00,20.00,AUTO,0,100,NaN,196.90,0.00,0.00,246.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.86,32.67,33.02,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.86,32.69,32.98,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.86,32.71,32.94,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.86,32.73,32.92,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.86,32.76,32.88,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.87,32.78,32.88,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.87,32.79,32.83,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.87,32.83,32.83,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.87,32.85,32.80,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.87,32.87,32.76,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.87,32.89,32.72,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.88,32.93,32.70,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.87,32.97,32.65,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.88,33.01,32.61,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.88,33.04,32.53,36.00,20.00,AUTO,0,100,NaN,185.90,0.00,-9.41,226.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.88,33.04,32.49,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.88,33.04,32.45,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.88,33.07,32.45,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.89,33.09,32.43,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.89,33.12,32.43,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.89,33.16,32.39,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.89,33.18,32.35,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.89,33.20,32.31,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.89,33.22,32.27,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.90,33.25,32.22,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.89,33.28,32.21,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.90,33.31,32.16,36.00,20.00,AUTO,0,100,NaN,163.63,0.00,-19.77,193.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
